"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"phục vụ nam","nữ phục vụ","related","word","word",NA
"đồi","núi","related","word","word",0.378526624858946
"sữa","nước ép","related","word","word",NA
"son môi","nước hoa","related","word","word",NA
"nước chanh","nước ngọt","related","word","word",NA
"máu","nước tiểu","related","word","word",NA
"kem","nước xốt","related","word","word",NA
"đây","ở đó","related","word","word",NA
"sự trơ trẽn","ở phía sau","related","word","word",NA
"hôn","ôm","related","word","word",0.383674888685123
"người quản lý","ông chủ","related","word","word",NA
"cây kim","ống tiêm","related","word","word",NA
"hàng không","ôxy","related","word","word",NA
"số lượng","phẩm chất","related","word","word",NA
"tự hào","phẩm giá","related","word","word",NA
"đơn vị","phân công","related","word","word",NA
"kẻ thù","phản đối","related","word","word",NA
"nobel","phần thưởng","related","word","word",NA
"tặng kem","phần thưởng","related","word","word",NA
"khám nghiệm tử thi","phân tích","related","word","word",NA
"kỵ sĩ","pháo binh","related","word","word",NA
"nổ","phát nổ","related","word","word",NA
"vận hành","phẫu thuật","related","word","word",NA
"phi hành gia","phi công","related","word","word",NA
"thiết bị đầu cuối","phi trường","related","word","word",NA
"hướng tây","phía đông","related","word","word",NA
"thấp hơn","phía trên","related","word","word",NA
"ngoài","phía trong","related","word","word",NA
"căng thẳng","phiền muộn","related","word","word",NA
"bánh mỳ","phô mai","related","word","word",NA
"nhịp","phong cách","related","word","word",NA
"bệnh viện","phòng khám","related","word","word",NA
"phòng","phòng ngủ","related","word","word",NA
"vòi sen","phòng tắm","related","word","word",NA
"bảo vệ","phòng vệ","related","word","word",NA
"tích cực","phủ định","related","word","word",NA
"nguyền rủa","phù thủy","related","word","word",NA
"thứ hai","phút","related","word","word",NA
"bài bạc","poker","related","word","word",NA
"khen ngợi","quà","related","word","word",NA
"chuối","quả dâu","related","word","word",NA
"quận","quận","related","word","word",1
"pub","quán ăn","related","word","word",NA
"câu lạc bộ","quán ba","related","word","word",NA
"quân đoàn","quân đội","related","word","word",NA
"dân sự","quân sự","related","word","word",NA
"quý giá","quan trọng","related","word","word",NA
"xoay","quay","related","word","word",0.388475714513464
"ngắt","quấy rầy","related","word","word",NA
"nam tước","quốc gia","related","word","word",NA
"hành tinh","quỹ đạo","related","word","word",NA
"tổ chức từ thiện","quyên góp","related","word","word",NA
"hấp dẫn","quyến rũ","related","word","word",NA
"rác","rác","related","word","word",1
"móng tay","răng","related","word","word",NA
"tường","rào chắn","related","word","word",NA
"rạp chiếu phim","rạp hát","related","word","word",NA
"xác suất","rất có thể","related","word","word",NA
"tóc","râu","related","word","word",0.453759866602527
"đắt tiền","rẻ","related","word","word",NA
"chật hẹp","rộng","related","word","word",NA
"thương xót","rộng lượng","related","word","word",NA
"lau dọn","rửa sạch","related","word","word",NA
"rừng","rừng","related","word","word",1
"đáng sợ","rùng mình","related","word","word",NA
"đất","ruồi","related","word","word",0.18643517100792
"rượu","rượu sâm banh","related","word","word",NA
"whisky","rượu vodka","related","word","word",NA
"sự từ chức","sa thải","related","word","word",NA
"quyến rũ","sắc đẹp, vẻ đẹp","related","word","word",NA
"kinh thánh","sách","related","word","word",NA
"đồ giả","sai","related","word","word",NA
"lỗi","sai lầm, điều sai, ngộ nhận","related","word","word",NA
"lightning","sấm sét","related","word","word",NA
"nhẫn giả","samurai","related","word","word",NA
"theo","săn bắt","related","word","word",NA
"xưởng sản xuất","sản lượng","related","word","word",NA
"thương hiệu","sản phẩm","related","word","word",NA
"tạo ra","sản xuất","related","word","word",NA
"chiếu sáng","sáng","related","word","word",NA
"trí tưởng tượng","sáng tạo","related","word","word",NA
"nguyên bản","sao chép","related","word","word",NA
"sao hoả","sao kim","related","word","word",NA
"cuối cùng","sau cùng","related","word","word",NA
"tỉnh táo","say","related","word","word",NA
"xăm hình","sẹo","related","word","word",NA
"khó","siêng năng","related","word","word",NA
"siêu nhiên","siêu linh","related","word","word",NA
"hóa chất","sinh học","related","word","word",NA
"quái vật","sinh vật","related","word","word",NA
"hóa học","sinh vật học","related","word","word",NA
"thứ hai","sơ cấp","related","word","word",NA
"đường","sô cô la","related","word","word",NA
"thư","số fax","related","word","word",NA
"tổng","số lượng","related","word","word",NA
"muộn","sớm","related","word","word",0.525809476165177
"trực tiếp","sóng sót","related","word","word",NA
"ho","sốt","related","word","word",0.232664359030309
"bảo vệ","sự an toàn","related","word","word",NA
"ô nhiễm","sự bức xạ","related","word","word",NA
"thay đổi","sự cải tiến","related","word","word",NA
"sự cho phép","sự chấp thuận","related","word","word",NA
"sự trả thù","sự công bằng","related","word","word",NA
"quan sát","sự đánh giá","related","word","word",NA
"trị liệu","sự đối xử","related","word","word",NA
"áp dụng","sử dụng","related","word","word",NA
"sự phẫn nộ","sự giận dữ","related","word","word",NA
"kho báu","sự giàu có","related","word","word",NA
"hỗ trợ","sự giúp đỡ","related","word","word",NA
"sự hỗn loạn","sự hoang mang","related","word","word",NA
"đến","sự khởi hành","related","word","word",NA
"tiếp xúc","sự liên quan","related","word","word",NA
"đẩy vào","sự lôi kéo","related","word","word",NA
"bài tập","sứ mệnh","related","word","word",NA
"hồ sơ","sự mô tả","related","word","word",NA
"rủi ro","sự nguy hiểm","related","word","word",NA
"rủi ro","sự nguy hiểm","related","word","word",NA
"vi-rút","sự nhiễm trùng","related","word","word",NA
"gián điệp","sự phá hoại","related","word","word",NA
"sự sáng tạo","sự phá hủy","related","word","word",NA
"phát triển","sự phát triển","related","word","word",NA
"lòng can đảm","sự quyết tâm","related","word","word",NA
"riêng","sự riêng tư","related","word","word",NA
"mùa thu","sự sụp đổ","related","word","word",NA
"thành công","sự thất bại","related","word","word",NA
"thính giác","sự thử nghiệm","related","word","word",NA
"bầy đàn","sự tiếp kiến","related","word","word",NA
"mong","sự tin tưởng","related","word","word",NA
"rồng","sư tử","related","word","word",NA
"vui lòng","sự vui mừng","related","word","word",NA
"sửa chữa","sửa","related","word","word",NA
"súng trường","súng","related","word","word",NA
"đám mây","sương mù","related","word","word",NA
"con mắt","tai","related","word","word",NA
"ngân hàng","tài chính","related","word","word",NA
"tài chính","tài chính","related","word","word",NA
"tập tin","tài liệu","related","word","word",NA
"biến cố","tai nạn","related","word","word",NA
"vòng tròn","tam giác","related","word","word",NA
"y khoa","tâm lý","related","word","word",NA
"giải phẫu học","tâm lý","related","word","word",NA
"khải huyền","tầm nhìn","related","word","word",NA
"ý nghĩa","tầm quan trọng","related","word","word",NA
"giá thấp nhất","tấm thảm","related","word","word",NA
"tà ác","tàn ác","related","word","word",NA
"cuộc xâm lăng","tấn công","related","word","word",NA
"fidelity","tận tụy","related","word","word",NA
"quan tài","tang lễ","related","word","word",NA
"playboy","tạp chí","related","word","word",NA
"băng nhóm","tập đoàn","related","word","word",NA
"công ty","tập đoàn","related","word","word",NA
"hàng loạt","tập phim","related","word","word",NA
"tiêu điểm","tập trung","related","word","word",NA
"phi hành đoàn","tàu thủy","related","word","word",NA
"loại bỏ","tẩy","related","word","word",NA
"kinh khủng","tệ hại","related","word","word",NA
"golf","tennis","related","word","word",0.39166928037972
"trở ngại","thách thức","related","word","word",NA
"ý kiến","thái độ","related","word","word",NA
"sinh","thai kỳ","related","word","word",NA
"viên con nhộng","thăm dò","related","word","word",NA
"quyền hạn","thẩm quyền","related","word","word",NA
"đại lý","thám tử","related","word","word",NA
"lo lắng","thần kinh","related","word","word",NA
"riêng tư","thân mật","related","word","word",NA
"chúa trời","thần thánh","related","word","word",NA
"lịch sự","thân thiện","related","word","word",NA
"tháng mười một","tháng 12","related","word","word",NA
"tháng sáu","tháng bảy","related","word","word",NA
"thu được","thắng lợi","related","word","word",NA
"tháng chín","tháng mười","related","word","word",NA
"quản lý","thành công","related","word","word",NA
"hợp thời trang","thanh lịch","related","word","word",NA
"thủ đô","thành phố","related","word","word",NA
"cuộc hội thoại","thảo luận","related","word","word",NA
"thế kỷ","thập kỷ","related","word","word",NA
"thực ra","thật sự","related","word","word",NA
"sự ngạc nhiên","thất vọng","related","word","word",NA
"thay thế","thay thế","related","word","word",NA
"monk","thầy tu","related","word","word",NA
"thực hành","thể dục","related","word","word",NA
"quốc tế","thế giới","related","word","word",NA
"diễn tả","thể hiện","related","word","word",NA
"sở thích","thể thao","related","word","word",NA
"thêm","thêm vào","related","word","word",NA
"bê tông","thép","related","word","word",NA
"cảnh sát trưởng","thị trưởng","related","word","word",NA
"bầu trời","thiên đường","related","word","word",NA
"chip","thiết bị","related","word","word",NA
"tuổi teen","thiếu niên","related","word","word",NA
"thịt heo","thịt","related","word","word",NA
"nướng","thịt ba rọi","related","word","word",NA
